pair,symbol_x,symbol_y,pvalue_1y,beta_1y,halflife_1y,pvalue_2y,beta_2y,halflife_2y,pvalue_3y,beta_3y,halflife_3y,pvalue_4y,beta_4y,halflife_4y,pvalue_5y,beta_5y,halflife_5y,volatility_x,volatility_y,volatility_period,r_squared_5y,residual_mean,residual_std,residual_skew,residual_kurt,jarque_bera_pvalue
AL-I,AL,I,0.00467245302020467,1.235958,8.862588660776355,0.00984111823818596,-0.815654,26.544213691226368,0.005668497172126234,0.057325,37.201618473712514,0.00032893321965423876,-0.052784,30.447468752877853,0.0009905465204898877,-0.24586,42.14658785430199,0.18420873144958447,0.37454281023994035,all available data,0.03987274462798274,-2.2353900036135215e-14,0.13986686204834528,0.29630744535162573,0.38411098715996905,2.0621559342087737e-06
ZN-I,ZN,I,0.0058195956145162065,0.603105,11.271447108104722,0.013027950833232896,-0.481074,28.26554709878097,0.0018987832947667317,-0.312789,28.857985924518594,0.00020878720064333728,-0.198957,28.564460328610085,0.0008630223998839762,-0.26536,41.612945297869864,0.20517948821568555,0.37454281023994035,all available data,0.02951948141541283,-8.402449811766264e-16,0.1406189475656812,0.3245688854614073,0.2808721621054202,1.9806971119777942e-06
AU-RB,AU,RB,0.005986398300648389,-0.212589,11.52883947174326,0.0015920930971408875,-0.410443,17.29711696391828,0.00048455275493531616,-0.347,21.471007531842513,0.005932190503540902,-0.543687,49.0490963489441,0.003100950201849703,-0.541764,54.908503290979674,0.13940118881903446,0.22741934347301562,all available data,0.5972451813955759,4.534221322919909e-14,0.10096505615795688,0.44206652514645883,0.12012116604216372,8.395466600197516e-10
AU-AG,AU,AG,0.00615711191900797,0.52773,11.785394161505682,0.024490623336794668,0.783807,35.08948311868285,0.009029062432005023,0.961247,43.067580605135845,0.002281564991205843,0.911015,43.95363417357156,0.0008102543241763528,0.858806,44.44189510621602,0.13940118881903446,0.2813219673266603,all available data,0.8650986617984198,1.80962828496362e-14,0.0769639761833775,-0.03970744869016723,-0.12214054945679464,0.5728351537934095
AL-SN,AL,SN,0.00649529326657699,0.430812,11.761822702598366,0.0007104925809048819,1.97202,16.500500456426554,0.0016941563431655574,2.32263,21.455386295231055,0.00010279387688850951,2.117855,22.820532380371255,9.538887077372201e-05,1.747338,28.850440684482127,0.18420873144958447,0.2895085948655372,all available data,0.8141356812524507,-1.1051477193697273e-13,0.09678913294628125,-0.16655217604188569,0.1614257925569489,0.027414289365302862
CU-AL,CU,AL,0.0070490930560837516,0.499852,13.688942477666437,0.0001730067529303247,0.566294,12.942028309849842,0.0005842461554648371,0.512662,14.620031248158673,0.00308172985152975,0.514519,40.17806061893055,0.006404356854267448,0.832217,49.16054512672854,0.17816168597538068,0.18420873144958447,all available data,0.7607464911835535,-1.2149716858691553e-13,0.056706012091266314,1.1280058886038304,1.4381044493043031,2.5129868927969643e-82
AG-SF,AG,SF,0.007120497090108683,-0.644013,12.160821617708386,0.013520736597679987,-0.394772,27.96565552913434,0.0006951739440838013,-0.451952,22.75242189027246,0.00018567778264223182,-0.644496,46.962021447020305,0.00029732881756377874,-0.528963,54.188955906720565,0.2813219673266603,0.2919390138344788,all available data,0.3417033618983576,-3.0231901638173786e-14,0.15384767696392807,0.8686204383745546,4.19610206067842,7.363422220652157e-236
SN-I,SN,I,0.007140766035758051,-0.162229,11.893647411274845,0.00109794622078707,-0.593232,16.29099492802857,0.0055247820954953735,0.02455,37.00020773568878,0.00030572144790513167,-0.067447,29.901486973686808,0.0009086905467415342,-0.173414,40.585782167509585,0.2895085948655372,0.37454281023994035,all available data,0.07439182470138861,-6.423080762148842e-15,0.13732955830384602,0.22923444903934873,0.14045822938084207,0.002392398347458871
RB-SF,RB,SF,0.008246897252842085,1.384357,9.282123167796286,0.04887380364261729,0.898096,25.94541655071122,0.010661767090918654,1.102452,39.238978387223085,2.877458539501205e-05,1.084287,38.68539415096703,0.003270887593314929,0.920564,65.94736449857618,0.22741934347301562,0.2919390138344788,all available data,0.5965534925027594,-8.526794790524281e-14,0.1204406538409778,0.40210901674073624,2.03582111917341,2.3860884779875522e-55
SF-I,SF,I,0.008300456970515943,0.423393,12.236211238277038,0.014119807028396004,0.709347,28.582819752056366,0.004916586596962872,0.134441,37.312815005880005,0.0003136548424201739,-0.022092,30.356310563432494,0.0026790289552667255,-0.011228,49.046441176260686,0.2919390138344788,0.37454281023994035,all available data,0.00022245771543238924,-1.3474935453164757e-14,0.142725680014621,0.36150812989100245,0.32007264364986243,7.457399451866304e-08
