pair,z_var,z_mean,z_std,current_delta,current_R,current_beta,quality_status,calibration_count,total_signals
RB-SF,0.2360157862573872,-1.0321636118081676,0.4858145595362362,0.995,0.0013353282870791094,1.07628686079886,bad,50,309
SF-I,0.46397485722968884,1.0692410145187978,0.6811569989581615,0.995,0.0017781881483977492,0.7637153142709178,bad,47,309
AU-SF,0.044888159093884876,-0.938436860707866,0.2118682588163807,0.995,0.05454562719197275,1.330163259712359,bad,50,309
HC-SM,0.37476590852339503,-0.8579877299091165,0.6121812709675093,0.995,0.0006557143964051813,1.0723877162189717,bad,41,309
SS-AG,0.14730248985674213,1.2142329561301974,0.38380006495145635,0.995,0.006720392456111635,0.9557188374724874,bad,50,309
PB-NI,0.546960131531426,-0.8608363101350901,0.7395675300683677,0.995,0.00043941752886395073,1.2037267999994081,bad,48,309
SM-AG,0.12504907587099645,1.0798064108230727,0.35362278754485893,0.995,0.01297322605699697,1.0378963428834624,bad,50,309
AU-I,0.053321322879812165,-0.8721524119493294,0.23091410281706953,0.995,0.026425420514514585,1.018621043311156,bad,50,309
CU-SF,0.5867462833115848,-0.47926428059334825,0.7659936574878312,0.995,0.0026586326978129413,0.7679099183235202,bad,50,309
AG-I,0.14779791960279381,-0.9568605106117279,0.38444495002899154,0.995,0.007897060846727715,0.7364724869416844,bad,50,309
SS-SM,0.4129608494205268,-0.43968569698502546,0.6426202995708483,0.995,0.0009583747561754201,0.918876538400969,bad,45,309
CU-I,0.5183534669558092,-0.4399546845386752,0.7199676846607833,0.995,0.0023856270546592654,0.5895145235495882,bad,49,309
PB-I,1.127174412523265,-0.07432569800461085,1.061684704855102,0.995,0.0028997022844904435,0.6794328055779051,good,35,309
SS-RB,0.5936473436022678,-0.3113006369484777,0.7704851352247283,0.995,0.0006961903132830214,0.8522045183288415,bad,44,309
SN-SF,0.42649067431392285,-0.5463287046299502,0.6530625347651807,0.995,0.002758580462840928,0.6934757681818051,bad,50,309
RB-I,1.0847048993884492,0.45005913930213687,1.041491670340406,0.995,0.0008540991293538943,0.8208102060121911,good,41,309
SS-I,0.9620606679833978,0.1168412401970343,0.9808469136330082,0.995,0.001963261499432772,0.6991247061828179,good,41,309
AU-HC,0.03931417304260956,-0.8710995524459808,0.1982780195649774,0.995,0.03414049031275464,1.2426405823812274,bad,50,309
PB-SS,1.095037990438883,-0.41494091008745576,1.0464406291992312,0.995,0.0004112202625542938,0.9719041033524541,good,48,309
NI-I,1.0300652391535148,0.12830330093525333,1.0149212970243136,0.995,0.0027773073411714,0.5646135892186076,good,35,309
SS-SF,0.484633054280416,-0.5690604618532543,0.6961559123360341,0.995,0.0017581917532188149,0.9153423256265085,bad,50,309
SM-SF,0.4984619617467324,-0.461727456336864,0.7060183862667688,0.995,0.0002133209625153928,0.9957555003859181,bad,50,309
RB-AG,0.15600550539118668,1.0841811720996535,0.3949753225091242,0.995,0.00893383462965128,1.1203391556542683,bad,50,309
PB-RB,0.8901439467451971,-0.3452221315945613,0.9434744017434692,0.995,0.0014775709270321068,0.8278727856519942,good,48,309
AL-SM,0.28713756637782234,-0.8403338510458912,0.5358521870607811,0.995,0.002719442698619247,0.8784780492322589,bad,44,309
PB-AG,0.16418511907640312,1.3377900241811769,0.40519762965299183,0.995,0.008063541017021598,0.9279821850819266,bad,50,309
PB-HC,1.2494440703084193,-0.20720296608401254,1.1177853417845571,0.995,0.0022251296029936725,0.8319022260291993,good,47,309
PB-SM,0.41896585854097185,-0.6631127881651889,0.6472757206484512,0.995,0.0023771436162984944,0.8946578840339018,bad,38,309
SS-HC,0.7280834494645109,-0.21729209450045844,0.8532780610472245,0.995,0.0009649271515151953,0.85712488399435,warning,45,309
HC-AG,0.19969952529835755,1.0575378397310298,0.44687752829870236,0.995,0.007976380101006793,1.1136850504218652,bad,50,309
