交易序号,配对,品种X,品种Y,方向,开仓日期,开仓Z值,开仓Beta,开仓原因,平仓日期,平仓Z值,平仓Beta,平仓原因,信号平仓原因,持仓天数,毛盈亏,手续费,净盈亏,收益率,保证金
50,RB-AG,RB,AG,short,2025-02-05,2.2194,1.104572,z_threshold,2025-02-26,0.2119,1.105264,signal,z_threshold,21,-24931.41,609.03,-25540.44,-13.92%,183422.69
51,AG-NI,AG,NI,long,2025-02-05,-4.3857,1.311334,z_threshold,2025-02-27,-0.4758,1.310445,signal,z_threshold,22,-18493.05,341.91,-18834.96,-18.30%,102912.15
52,SM-I,SM,I,short,2025-02-12,2.2198,0.756402,z_threshold,2025-03-03,0.2999,0.757089,stop_loss,z_threshold,19,-46886.18,560.92,-47447.09,-27.59%,171993.47
53,AU-CU,AU,CU,long,2025-02-05,-2.6927,1.743845,z_threshold,2025-03-10,N/A,N/A,time_stop,,33,-1964.75,424.51,-2389.26,-1.90%,125805.50
54,AU-NI,AU,NI,long,2025-02-05,-2.8183,1.823862,z_threshold,2025-03-10,N/A,N/A,time_stop,,33,-15773.28,424.62,-16197.90,-12.96%,125002.86
55,AU-SF,AU,SF,long,2025-02-05,-3.1181,1.358901,z_threshold,2025-03-10,N/A,N/A,time_stop,,33,25150.10,393.97,24756.13,20.93%,118289.32
56,AU-I,AU,I,long,2025-02-05,-2.1145,1.034411,z_threshold,2025-03-10,N/A,N/A,time_stop,,33,42116.00,518.95,41597.05,26.51%,156908.54
57,AU-SM,AU,SM,long,2025-02-11,-2.3879,1.359376,z_threshold,2025-03-14,N/A,N/A,time_stop,,31,25841.55,406.43,25435.12,20.80%,122266.11
58,AU-AG,AU,AG,long,2025-02-11,-2.0139,1.392978,z_threshold,2025-03-14,N/A,N/A,time_stop,,31,-13940.88,473.23,-14414.11,-10.30%,139903.36
59,CU-SF,CU,SF,long,2025-02-11,-2.2109,0.779647,z_threshold,2025-03-14,N/A,N/A,time_stop,,31,58473.38,562.50,57910.88,34.31%,168781.53
60,SN-SF,SN,SF,long,2025-02-13,-2.0317,0.704379,z_threshold,2025-03-17,N/A,N/A,time_stop,,32,73528.83,463.27,73065.56,53.18%,137385.03
