pair,symbol_x,symbol_y,pvalue_1y,beta_1y,halflife_1y,pvalue_2y,beta_2y,halflife_2y,pvalue_3y,beta_3y,halflife_3y,pvalue_4y,beta_4y,halflife_4y,pvalue_5y,beta_5y,halflife_5y,volatility_x,volatility_y,volatility_period,r_squared_5y,residual_mean,residual_std,residual_skew,residual_kurt,jarque_bera_pvalue
SF-AG,SF,AG,0.005953585755619515,-0.694261,11.697959317511476,0.018177647681947323,-1.172795,33.01571538238691,0.0006920730149749929,-1.55846,24.476352142659195,0.0028733354866147306,-0.863988,60.54692984597743,0.004285272933233395,-0.645987,67.32252139437462,0.21467660111504655,0.2555525402215319,2024-01-01 to latest,0.3417033618983577,-3.540871299871166e-14,0.17001615344645382,-0.0794126975195437,-0.2893158036728196,0.057303708616231804
AU-RB,AU,RB,0.005986398300648389,-0.212589,11.52883947174326,0.0015920930971408875,-0.410443,17.29711696391828,0.00048455275493531616,-0.347,21.471007531842513,0.005932190503540902,-0.543687,49.0490963489441,0.003100950201849703,-0.541764,54.908503290979674,0.14883455332099976,0.17577879038420638,2024-01-01 to latest,0.5972451813955759,4.534221322919909e-14,0.10096505615795688,0.44206652514645883,0.12012116604216372,8.395466600197516e-10
AU-AG,AU,AG,0.00615711191900797,0.52773,11.785394161505682,0.024490623336794668,0.783807,35.08948311868285,0.009029062432005023,0.961247,43.067580605135845,0.002281564991205843,0.911015,43.95363417357156,0.0008102543241763528,0.858806,44.44189510621602,0.14883455332099976,0.2555525402215319,2024-01-01 to latest,0.8650986617984198,1.80962828496362e-14,0.0769639761833775,-0.03970744869016723,-0.12214054945679464,0.5728351537934095
AL-SN,AL,SN,0.00649529326657699,0.430812,11.761822702598366,0.0007104925809048819,1.97202,16.500500456426554,0.0016941563431655574,2.32263,21.455386295231055,0.00010279387688850951,2.117855,22.820532380371255,9.538887077372201e-05,1.747338,28.850440684482127,0.12062644624499681,0.2425340350822569,2024-01-01 to latest,0.8141356812524507,-1.1051477193697273e-13,0.09678913294628125,-0.16655217604188569,0.1614257925569489,0.027414289365302862
CU-SM,CU,SM,0.007033181812898517,-0.569025,11.845781506066105,0.12321827315965694,0.183924,68.24545377397051,0.022036705095708355,-0.30148,53.99458249270043,0.008243319970733706,-0.31936,80.63942956390301,0.009545174181059655,0.122614,96.53983960600219,0.15251240993423965,0.2694723267212363,2024-01-01 to latest,0.01228595626491269,-3.2359582385810975e-13,0.13357798875490584,0.8292665339649482,1.680948959740797,2.683201594970477e-64
SN-I,SN,I,0.007140766035758051,-0.162229,11.893647411274845,0.00109794622078707,-0.593232,16.29099492802857,0.0055247820954953735,0.02455,37.00020773568878,0.00030572144790513167,-0.067447,29.901486973686808,0.0009086905467415342,-0.173414,40.585782167509585,0.2425340350822569,0.2759772329574849,2024-01-01 to latest,0.07439182470138861,-6.423080762148842e-15,0.13732955830384602,0.22923444903934873,0.14045822938084207,0.002392398347458871
NI-SM,NI,SM,0.007738303815347624,1.054596,9.33484232458217,0.014099533761701743,0.676788,32.64931106822635,0.0064655513310486745,0.375374,35.79420416659748,0.005454295757403995,0.41691,60.03383310843089,0.001831398711395577,0.382471,58.25638692383073,0.20628958609099912,0.2694723267212363,2024-01-01 to latest,0.2968043210552904,-1.022843185810849e-13,0.11270868490527339,1.7693296744394433,5.122504076043347,0.0
SF-SM,SF,SM,0.008130448971807574,0.685673,7.7918268757954205,0.022911658341297266,0.894955,35.3257117925106,0.0045367905144487524,0.667439,37.01852435698767,0.0010033471523963956,0.68921,26.01884091060415,9.332221832814424e-05,0.657359,23.750811112262205,0.21467660111504655,0.2694723267212363,2024-01-01 to latest,0.8600560621245762,4.538027801861481e-14,0.050280122939349026,2.088834565507871,6.939578724370566,0.0
RB-SF,RB,SF,0.008246897252842085,1.384357,9.282123167796286,0.04887380364261729,0.898096,25.94541655071122,0.010661767090918654,1.102452,39.238978387223085,2.877458539501205e-05,1.084287,38.68539415096703,0.003270887593314929,0.920564,65.94736449857618,0.17577879038420638,0.21467660111504655,2024-01-01 to latest,0.5965534925027594,-8.526794790524281e-14,0.1204406538409778,0.40210901674073624,2.03582111917341,2.3860884779875522e-55
SF-I,SF,I,0.008300456970515943,0.423393,12.236211238277038,0.014119807028396004,0.709347,28.582819752056366,0.004916586596962872,0.134441,37.312815005880005,0.0003136548424201739,-0.022092,30.356310563432494,0.0026790289552667255,-0.011228,49.046441176260686,0.21467660111504655,0.2759772329574849,2024-01-01 to latest,0.00022245771543238924,-1.3474935453164757e-14,0.142725680014621,0.36150812989100245,0.32007264364986243,7.457399451866304e-08
AU-SF,AU,SF,0.008871534686276075,-0.502611,9.126697124022682,0.0008406749431064471,-0.425979,15.540963681597619,5.668430148043918e-05,-0.495947,15.901806179522488,1.8035710842366675e-05,-0.680031,41.19899630819625,0.0006532191336066,-0.524756,63.92049343270931,0.14883455332099976,0.21467660111504655,2024-01-01 to latest,0.39444656575911763,-9.933218269084353e-14,0.14755582550125038,0.7560446811660706,4.34458083750782,5.6317715487561275e-242
SN-SM,SN,SM,0.00892608348118757,-0.355007,12.748737991204294,0.04257927495280488,0.020567,65.41187948978767,0.022356119036874768,-0.235386,49.11036340475751,0.026826081053736003,0.219958,97.98466628791788,0.009757548656893341,0.194182,89.11684801829345,0.2425340350822569,0.2694723267212363,2024-01-01 to latest,0.10520491805171117,3.494065706959985e-14,0.12713967002699225,0.3879516022157997,1.449463434999493,1.5329201966606995e-31
HC-SM,HC,SM,0.00896069649940705,0.920247,11.525018436027885,0.03945324497477336,0.699638,52.003354949505706,0.013248746343013014,0.770473,44.751285945909544,4.874051853830922e-05,0.724465,36.21434601762221,0.0005130053452774889,0.590483,47.11441616341477,0.16749536473919402,0.2694723267212363,2024-01-01 to latest,0.5157160641695464,-1.3913667396356311e-13,0.09353395907104765,0.8235730776378454,1.7759166517202765,1.3037281264865517e-67
SS-AG,SS,AG,0.00935650287957103,-1.235854,13.044773144151483,0.013881769682008046,-1.906164,28.08115018472866,0.0008074325611902792,-2.112283,23.820604313921336,0.0039382901812986945,-1.330598,40.080991315661166,0.001194337470566313,-1.091552,44.757058141997454,0.12197395517172488,0.2555525402215319,2024-01-01 to latest,0.42314380049598044,-1.3446739312856816e-13,0.159152384492702,-0.30414950748474023,-0.14958784626958632,3.3612563294193146e-05
