trade_id,pair,symbol_x,symbol_y,direction,beta,z_score_open,open_date,close_date,holding_days,lots_x,lots_y,theoretical_ratio,actual_ratio,open_price_x,open_price_y,close_price_x,close_price_y,margin_occupied,gross_pnl,y_pnl,x_pnl,open_commission,close_commission,net_pnl,return_on_margin,close_reason
168,CU-SN,CU,SN,open_long,3.376691950668106,-2.517300890710253,2025-02-27,2025-03-07,8,27,8,3.376691950668106,3.375,77021.56,254133.73,78250.214,262880.459,1492174.8528,-95894.45800000158,69973.8319999997,-165868.2900000013,2486.196088,2533.364512400001,-100914.01860040158,-0.06762881602718401,signal
169,SN-SM,SN,SM,open_long,0.022661096167667587,-6.427852822272549,2025-03-14,2025-03-17,3,1,1,0.022661096167667587,1.0,287661.73,6330.074,283561.631,6197.076,38317.452,3435.1089999999895,-664.989999999998,4100.098999999987,63.86242,62.9094022,3308.3371777999896,0.08634021849365114,signal
170,CU-SN,CU,SN,open_short,3.3964534415184153,4.909984997430107,2025-03-14,2025-03-20,6,17,5,3.3964534415184153,3.4,80281.081,287661.73,81437.188,280622.837,991176.0642,133463.55999999898,35194.46499999991,98269.09499999907,1652.4401070000001,1665.0550330000003,130146.06485999898,0.13130468900602713,signal
171,NI-I,NI,I,open_long,0.0056488228166628905,-2.293003606642964,2025-03-19,2025-03-21,2,1,1,0.0056488228166628905,1.0,131696.97,745.6,129292.653,737.904,24736.4364,1634.7169999999928,-769.6000000000026,2404.3169999999955,41.251394000000005,40.6166106,1552.8489953999929,0.06277577619870876,signal
172,AL-CU,AL,CU,open_short,3.7770351730212264,2.216845011912085,2025-03-14,2025-03-27,13,34,9,3.7770351730212264,3.7777777777777777,20992.951,80221.081,20799.809,81484.085,861306.0378,-89669.32,-56835.18000000004,-32834.13999999997,1435.7500630000002,1440.550271,-92545.620334,-0.10744801066341718,signal
173,AL-SN,AL,SN,open_short,12.483796730900684,5.173334706793971,2025-03-14,2025-04-01,18,25,2,12.483796730900684,12.5,20992.951,287661.73,20498.578,287392.196,383715.28020000004,-61257.55699999998,539.0679999999702,-61796.62499999995,639.888467,627.4213284,-62524.866795399976,-0.1629459915247857,stop_loss
174,RB-NI,RB,NI,open_short,6.453873087476061,3.272698090461361,2025-03-10,2025-04-03,24,58,9,6.453873087476061,6.444444444444445,3239.595,132660.583,3198.478,127505.604,368572.84164,22546.951000000212,46394.81100000006,-23847.859999999848,614.5820694,600.5335352000001,21331.835395400212,0.057876850883755236,signal
175,CU-SN,CU,SN,open_short,3.47103464077493,2.089394181694903,2025-04-01,2025-04-07,6,31,9,3.47103464077493,3.4444444444444446,80340.202,287332.196,73469.655,267969.634,1804120.92888,-890671.7270000011,174263.0579999998,-1064934.7850000008,3007.7442148000005,2759.9046462,-896439.3758610011,-0.49688430609666034,stop_loss
176,NI-SF,NI,SF,open_short,0.04897689042531028,7.6672245005969595,2025-04-07,2025-04-08,1,1,1,0.04897689042531028,1.0,118813.736,5855.701,119400.863,5921.555,17771.068919999998,257.8569999999918,-329.27000000000135,587.1269999999931,29.618448200000003,29.801727600000003,198.4368241999918,0.011166285218592907,signal
177,SS-AG,SS,AG,open_long,0.5962236874767936,-3.1436606706453527,2025-04-07,2025-04-08,1,3,5,0.5962236874767936,0.6,12985.365,7647.33,12870.864,7709.45,92199.62700000001,6376.514999999995,4658.999999999992,1717.515000000003,153.666045,154.254342,6068.594612999995,0.0658201644676935,signal
178,CU-SF,CU,SF,open_short,0.0792979694650529,7.60625678331601,2025-04-07,2025-04-08,1,1,10,0.0792979694650529,0.1,73529.655,5855.701,73182.103,5921.555,79269.999,-5030.459999999994,-3292.7000000000135,-1737.7599999999802,132.086665,132.39765300000002,-5294.9443179999935,-0.06679632124128063,signal
179,AG-SM,AG,SM,open_short,0.753531152447492,2.4376869007112085,2025-04-07,2025-04-09,2,3,4,0.753531152447492,0.75,7647.33,6042.149,7780.428,5949.823,55794.9396,7835.9299999999985,1846.5200000000004,5989.409999999998,92.99456599999999,93.82314400000001,7649.112289999998,0.13709329815279517,signal
180,AL-I,AL,I,open_long,0.03614503332625781,-2.2537690585722716,2025-04-08,2025-04-09,1,1,1,0.03614503332625781,1.0,19557.35,708.872,19287.345,697.769,20231.874,239.72499999999172,-1110.2999999999952,1350.024999999987,33.734790000000004,33.242725,172.7474849999917,0.008538382801315969,signal
181,CU-ZN,CU,ZN,open_short,0.3046381711231509,3.6071951373226936,2025-04-07,2025-04-09,2,3,10,0.3046381711231509,0.3,73529.655,22430.693,71935.479,21784.455,266973.537,8399.259999999995,32311.899999999878,-23912.639999999883,444.89589499999994,433.65098700000004,7520.713117999995,0.028170256882051926,signal
182,NI-SM,NI,SM,open_short,0.05084290521521482,5.949230709529395,2025-04-07,2025-04-09,2,1,10,0.05084290521521482,0.1,118813.736,6042.149,119031.55,5949.823,50542.94232,4834.114,4616.300000000001,217.8139999999985,84.1842372,83.30454,4666.625222799999,0.09232990816510896,signal
183,SS-NI,SS,NI,open_long,9.566553907397786,-3.3297811010182485,2025-04-07,2025-04-10,3,67,7,9.566553907397786,9.571428571428571,12985.365,118813.736,12772.418,121619.378,622393.0112399999,90976.73899999999,19639.493999999948,71337.24500000004,1036.3586853999998,1026.0191352,88914.36117939999,0.14285886822902302,signal
184,SF-AG,SF,AG,open_long,1.3763535445682917,-4.483745571867406,2025-04-07,2025-04-10,3,11,8,1.3763535445682917,1.375,5855.701,7647.33,5934.793,7998.585,148765.5786,37800.54000000003,42150.60000000001,-4350.05999999998,247.948631,257.248763,37295.34260600003,0.25069873660949166,signal
