date,pair,signal,z_score,beta,S,R,delta,quality,days_held,phase,symbol_x,symbol_y,initial_beta,pvalue_1y,pvalue_5y
2024-06-18,I-SM,warm_up,1.170595832601927,4.0,16953979.725364253,16942628.86998255,0.98,unknown,0,warm_up,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-06-19,I-SM,warm_up,1.1518318720072263,4.0,17136502.233945988,17085570.57238546,0.98,unknown,0,warm_up,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-06-20,I-SM,warm_up,1.1531606058478612,4.0,17281387.00866369,17232438.377778064,0.98,unknown,0,warm_up,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-06-21,I-SM,warm_up,1.1477046098314432,4.0,17424123.254306667,17369018.87792536,0.98,unknown,0,warm_up,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-06-24,I-SM,warm_up,1.114490924970837,4.0,17554453.532814406,17438892.535422042,0.98,unknown,0,warm_up,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-06-25,I-SM,warm_up,1.1249135774907832,4.0,17628658.895299844,17530259.009034842,0.98,unknown,0,warm_up,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-06-26,I-SM,warm_up,1.0665454746521645,4.0,17733689.753812887,17507236.554934442,0.98,unknown,0,warm_up,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-06-27,I-SM,warm_up,1.0179975154796668,4.0,17709070.0584292,17392766.84329188,0.98,unknown,0,warm_up,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-06-28,I-SM,warm_up,1.0594181665725932,4.0,17599132.08583756,17356587.638725616,0.98,unknown,0,warm_up,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-01,I-SM,hold,1.0246160308989054,4.0,17572827.98417309,17256072.141906478,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-02,I-SM,hold,1.0226901456751794,4.0,17475835.028750483,17152880.245223563,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-03,I-SM,hold,1.0208589460750972,4.0,17385797.285841294,17047759.120416753,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-04,I-SM,hold,1.0314450816044949,4.0,17282783.461689904,16962619.84444027,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-05,I-SM,hold,1.0454168368796748,4.0,17188108.7614271,16902888.55278897,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-08,I-SM,hold,1.0355168126215872,4.0,17119339.276962582,16824921.377467904,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-09,I-SM,hold,1.000346969774555,4.0,17047480.032344453,16685451.007088294,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-10,I-SM,hold,0.9662645062620956,4.0,16898054.388715953,16488958.972543655,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-11,I-SM,hold,0.9761988408024677,4.0,16711292.897022802,16311809.871600095,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-12,I-SM,hold,0.9598592721257634,4.0,16535145.120878603,16110051.71740423,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-15,I-SM,hold,0.9504773577068129,4.0,16337896.002238069,15896197.03756525,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-16,I-SM,hold,0.9714956061508857,4.0,16120168.30877201,15718353.225026838,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-17,I-SM,hold,0.9601571542621212,4.0,15932277.768980382,15524339.772958493,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-18,I-SM,hold,0.9688568386731781,4.0,15743738.54948101,15346577.213712722,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-19,I-SM,hold,1.0133319101770042,4.0,15562944.135420809,15240797.150579814,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-22,I-SM,hold,1.0130824858989558,4.0,15455017.424042141,15135313.497588748,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-07-23,I-SM,hold,1.0112950634951487,4.0,15338684.767467536,15027239.056723423,0.98,unknown,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
