pair,z_var,z_mean,z_std,current_delta,current_R,current_beta,quality_status,calibration_count,total_signals
AU-SF,0.010742696026675526,-0.9837207067451399,0.10364697789456057,0.995,0.13819808085441565,1.3562870771341482,bad,50,309
HC-SM,0.3320680122656721,-0.9534988243979975,0.5762534271183748,0.995,0.0009940800217512486,1.0730125386518392,bad,41,309
SS-AG,0.06631591002097889,1.1760585873627716,0.25751875663915996,0.995,0.024194991933834828,0.9472859592431467,bad,50,309
PB-NI,0.438833887734288,-0.9732654723107951,0.6624453847180822,0.995,0.00043807914990152795,1.2044902080563662,bad,43,309
SM-AG,0.04261102941647341,1.0544669511871254,0.20642439152501676,0.995,0.031748391262207194,1.0289826271857019,bad,41,309
AU-I,0.01401203390476363,-0.9340309466943765,0.11837243726798748,0.995,0.04791014654365751,1.031663865420137,bad,44,309
CU-SF,0.06710858322802403,-0.9451490248582767,0.2590532440021241,0.995,0.015049316470516558,0.7786027624039169,bad,47,309
AG-I,0.04990374578210392,-0.976825207665002,0.22339146309137223,0.995,0.013143050294346646,0.7413704494267144,bad,41,309
SS-SM,0.47654474689103027,-0.4719093601418906,0.6903222051267294,0.995,0.0004237951569770441,0.9190177155562644,bad,45,309
CU-I,0.2776333394459786,-0.5735567628142673,0.5269092326444647,0.995,0.0010552021408034135,0.5911679177327075,bad,42,309
PB-I,1.254339584133377,0.0658014755652494,1.1199730283062075,0.995,0.004068875122024387,0.6781352763458758,good,37,309
SS-RB,0.7800925982049046,-0.12187129485554112,0.8832285084874155,0.995,0.0004307535234810561,0.8516932532012836,warning,35,309
SN-SF,0.04723218165778066,-0.9462477769246455,0.21732966124710326,0.995,0.01768577832709752,0.7033250649092301,bad,43,309
RB-I,1.063437233089774,0.7392804486837754,1.0312309310187384,0.985,0.0016992165433211272,0.8194338844695243,good,42,309
SS-I,1.260384437219653,0.5200136621619591,1.1226684449202502,0.955,0.004484959407588512,0.6961606481048372,good,43,309
AU-HC,0.008212307395991148,-0.9620584759515102,0.09062178212764936,0.995,0.08322038828235562,1.2642532033725713,bad,50,309
PB-SS,0.6586330327940663,-0.6278097673311701,0.8115620942318993,0.995,0.00023962895188430616,0.9728867736449195,warning,48,309
NI-I,1.0231178896238988,0.12676999621897556,1.0114929014204197,0.995,0.0028820234277516354,0.5646324927762152,good,35,309
SS-SF,0.09846715837570068,-0.8747818421687585,0.3137947711095592,0.995,0.00503942953693232,0.9213901937443383,bad,46,309
SM-SF,0.6362475218732605,-0.19881103944271022,0.7976512532888421,0.995,0.00011872133179619903,0.9954373025290455,warning,46,309
RB-AG,0.03424030287361697,1.0602477430429709,0.1850413544957369,0.995,0.03585454944828202,1.1069186558693074,bad,43,309
PB-RB,0.3853080855934914,-0.5760631621730669,0.620731895099238,0.995,0.0007718806134950591,0.8302482105532969,bad,43,309
AL-SM,0.7363482809070951,-0.31280217627991186,0.8581073830862284,0.995,0.0007485409167295456,0.8753272533441282,warning,43,309
PB-AG,0.07411185861631235,1.2101386064881612,0.27223493276270105,0.995,0.02007624312147571,0.9231656026788526,bad,49,309
PB-HC,0.7324315568524291,-0.3603411711274006,0.8558221525833677,0.995,0.001160608629253615,0.8339382278933909,warning,44,309
PB-SM,1.2178684994714828,0.06869378179662938,1.1035707949522235,0.995,0.0024008987937031477,0.8902326401095432,good,36,309
SS-HC,0.605777588349219,-0.2543307298758357,0.7783171515193655,0.995,0.00047078448608311253,0.857818045587973,warning,46,309
HC-AG,0.04150097115948217,1.0394027562042754,0.20371787147789014,0.995,0.028603804624829463,1.1015427659992605,bad,46,309
