date,kalman_beta,ols_beta,beta_diff
2023-08-14,0.9949154562527542,0.16737741587333266,0.8275380403794216
2023-08-15,0.9890629640906794,0.1831095894742901,0.8059533746163893
2023-08-16,0.9733230599827163,0.2050140160683549,0.7683090439143614
2023-08-17,0.9597259163454552,0.2189561179946813,0.740769798350774
2023-08-18,0.9728547512625039,0.23314292592963648,0.7397118253328674
2023-08-21,0.9794787293228112,0.24616849934845494,0.7333102299743562
2023-08-22,0.974130592518121,0.24725858527114322,0.7268720072469778
2023-08-23,0.9827032592731022,0.25650228228097505,0.7262009769921272
2023-08-24,0.9822457653943774,0.24766175530564552,0.7345840100887319
2023-08-25,0.9853962221813006,0.2162277494004661,0.7691684727808346
2023-08-28,0.9811526606665812,0.19565693042190613,0.7854957302446751
2023-08-29,0.968770438382439,0.18714266380616157,0.7816277745762774
2023-08-30,0.9793223129353061,0.1776338931963305,0.8016884197389756
2023-08-31,1.0038733675994673,0.16785555609582095,0.8360178115036464
2023-09-01,1.0076205351489809,0.15746359136916233,0.8501569437798185
2023-09-04,1.0098187792353437,0.1508516738022684,0.8589671054330753
2023-09-05,1.0137957567076186,0.14876929448498755,0.865026462222631
2023-09-06,1.016157535928992,0.13885560546109857,0.8773019304678935
2023-09-07,1.045704940394646,0.13722717552746613,0.9084777648671798
2023-09-08,1.0570104565103196,0.11817024222645517,0.9388402142838643
2023-09-11,1.0653963818893457,0.11011105341874018,0.9552853284706055
2023-09-12,1.0726593845144323,0.11052133746349764,0.9621380470509346
2023-09-13,1.0343632584199554,0.11036481506269136,0.923998443357264
2023-09-14,1.0357228268092613,0.1132140912538019,0.9225087355554594
2023-09-15,1.0472743712694597,0.11461215382338517,0.9326622174460745
2023-09-18,1.0453983467659527,0.11461352542712282,0.9307848213388299
2023-09-19,1.048997527628656,0.11734653068195366,0.9316509969467024
2023-09-20,1.0384479065413852,0.12150875810002294,0.9169391484413623
2023-09-21,1.023537380859453,0.11755972945750663,0.9059776514019464
2023-09-22,1.0371324225054428,0.11396449184370698,0.9231679306617359
2023-09-25,1.038020548102311,0.11255563297252183,0.9254649151297892
2023-09-26,1.0634498569540194,0.10552486188028287,0.9579249950737365
2023-09-27,1.0535842780031381,0.10092459902594648,0.9526596789771916
2023-09-28,1.0339198354806198,0.10295354831901878,0.930966287161601
2023-10-09,1.0167056004091064,0.09272955016892452,0.9239760502401819
2023-10-10,1.008848108648519,0.08297988457981066,0.9258682240687084
2023-10-11,0.9918491677110897,0.08438730976767438,0.9074618579434153
2023-10-12,0.985944585237829,0.09251766978923748,0.8934269154485915
2023-10-13,0.9703627943306263,0.10721796394928594,0.8631448303813404
2023-10-16,0.9649974176054975,0.12018321777696707,0.8448141998285305
2023-10-17,0.9618557578434379,0.12379867924930796,0.8380570785941299
2023-10-18,0.9658537411970052,0.14454472143887506,0.8213090197581301
2023-10-19,0.9552169613548522,0.1561040888560166,0.7991128724988357
2023-10-20,0.9543835423048052,0.1781965225058517,0.7761870197989534
2023-10-23,0.9624274825632264,0.2081268046526652,0.7543006779105612
2023-10-24,0.9498780707075574,0.2248566805043229,0.7250213902032345
2023-10-25,0.9564083908192023,0.23798893044831154,0.7184194603708907
2023-10-26,0.9562715266372055,0.24249028111221993,0.7137812455249856
2023-10-27,0.965313303313368,0.24829349415881058,0.7170198091545574
2023-10-30,0.9612692564858665,0.25462201906011256,0.706647237425754
2023-10-31,0.9435965525200992,0.2555906380683055,0.6880059144517937
2023-11-01,0.9439206218897787,0.2548814760120767,0.6890391458777019
2023-11-02,0.9390532616109593,0.24346575492349823,0.695587506687461
2023-11-03,0.9458757030165678,0.23735477218065248,0.7085209308359153
2023-11-06,0.9387140145005037,0.22790458437093364,0.7108094301295701
2023-11-07,0.9498245090849997,0.22203603841345895,0.7277884706715407
2023-11-08,0.946285806037545,0.2171435974210779,0.7291422086164671
2023-11-09,0.9398720725263097,0.21129856288875548,0.7285735096375542
2023-11-10,0.9358487619295517,0.20558798385363616,0.7302607780759155
2023-11-13,0.9317212069188416,0.1988186398132912,0.7329025671055505
2023-11-14,0.9313932454442455,0.18798176723403123,0.7434114782102142
2023-11-15,0.9319858923132682,0.18305667057299896,0.7489292217402692
2023-11-16,0.9219167543913991,0.1783671755300464,0.7435495788613526
2023-11-17,0.8985232544831868,0.1585073984039265,0.7400158560792603
2023-11-20,0.8691191783613549,0.12119198027262117,0.7479271980887338
2023-11-21,0.8595623811319851,0.07938240246236171,0.7801799786696234
2023-11-22,0.8449324241900392,0.035276109333546066,0.8096563148564931
2023-11-23,0.8601589763723623,0.006720790311382483,0.8534381860609798
2023-11-24,0.8475136134616904,-0.026849433811142877,0.8743630472728333
2023-11-27,0.8416790536787885,-0.05670074575903002,0.8983797994378185
2023-11-28,0.8505189705557444,-0.07680007617154307,0.9273190467272875
2023-11-29,0.8433322172974081,-0.09615386104988186,0.93948607834729
2023-11-30,0.8337715994842402,-0.1129543004272857,0.9467258999115259
2023-12-01,0.8166544408583097,-0.1307589508783089,0.9474133917366186
2023-12-04,0.8394680987084355,-0.14107881497341215,0.9805469136818477
2023-12-05,0.8213823732924854,-0.14984952491389492,0.9712318982063803
2023-12-06,0.805915509129023,-0.16300014797546686,0.9689156571044899
2023-12-07,0.7963922921844698,-0.1837721118053434,0.9801644039898132
2023-12-08,0.8255928940878113,-0.20470791969692884,1.0303008137847403
2023-12-11,0.8299677854747073,-0.21460521685282075,1.0445730023275281
2023-12-12,0.828760484801078,-0.23328963568197025,1.0620501204830481
2023-12-13,0.8309489051279902,-0.2529977794317708,1.083946684559761
2023-12-14,0.8382081037339011,-0.261632189233866,1.099840292967767
2023-12-15,0.8589981731929681,-0.2739103162908997,1.1329084894838677
2023-12-18,0.8522073266128949,-0.3005184754431707,1.1527258020560656
2023-12-19,0.8427239801447397,-0.33555070812195764,1.1782746882666975
2023-12-20,0.8458117779430311,-0.37488775996040363,1.2206995379034347
2023-12-21,0.8516425198593842,-0.4220987838582672,1.2737413037176515
2023-12-22,0.8575515646300473,-0.4390102027508355,1.296561767380883
2023-12-25,0.8533944464184873,-0.4739718129612877,1.327366259379775
2023-12-26,0.8292015990613113,-0.4948299694479073,1.3240315685092185
2023-12-27,0.8471021019787339,-0.5143154798226156,1.3614175818013496
2023-12-28,0.8356932773509569,-0.5362859595938069,1.3719792369447639
2023-12-29,0.8114731123193778,-0.5519069478498475,1.3633800601692254
2024-01-02,0.8018682821537226,-0.5471071301862264,1.348975412339949
2024-01-03,0.8180894492881357,-0.533878191969597,1.3519676412577326
2024-01-04,0.8129068719763445,-0.5218196477945997,1.3347265197709441
2024-01-05,0.8240472068033295,-0.5006058899048005,1.32465309670813
2024-01-08,0.8141256209398811,-0.47538921911406834,1.2895148400539493
2024-01-09,0.8148619818456146,-0.4498416112072024,1.264703593052817
2024-01-10,0.823049356167942,-0.41501149622071754,1.2380608523886596
2024-01-11,0.8197416459551397,-0.38896805330649253,1.2087096992616322
2024-01-12,0.8250036092869749,-0.3635240011214958,1.1885276104084708
2024-01-15,0.8281991652982288,-0.3421531449192518,1.1703523102174807
2024-01-16,0.8284052322117295,-0.32027094016699403,1.1486761723787235
2024-01-17,0.837094631914402,-0.29439867829962063,1.1314933102140228
2024-01-18,0.8346563550253207,-0.27064736759494235,1.1053037226202629
2024-01-19,0.8387778919436487,-0.24677353246354056,1.0855514244071893
2024-01-22,0.831886966505466,-0.21651215915211167,1.0483991256575778
2024-01-23,0.8156017843494958,-0.18820356243865552,1.0038053467881514
2024-01-24,0.8157042376295995,-0.1666539446093348,0.9823581822389343
2024-01-25,0.8151689516642816,-0.1455833681362083,0.9607523198004899
2024-01-26,0.8318049954872553,-0.1246637534801317,0.956468748967387
2024-01-29,0.8404838981518167,-0.10342155577658828,0.943905453928405
2024-01-30,0.8409382428173389,-0.0802127087643016,0.9211509515816405
2024-01-31,0.830452477658973,-0.03935169412214987,0.8698041717811229
2024-02-01,0.8146144382134142,0.0004811898559050671,0.8141332483575091
2024-02-02,0.8174863716895283,0.05293939953535408,0.7645469721541742
2024-02-05,0.8120072397216173,0.10500644364100985,0.7070007960806074
2024-02-06,0.8113370454276791,0.163752505345094,0.6475845400825851
2024-02-07,0.8098699967249428,0.23446631188359043,0.5754036848413523
2024-02-08,0.8247791471750407,0.30693751524716745,0.5178416319278734
2024-02-19,0.8288503747330762,0.3948325117472037,0.4340178629858725
2024-02-20,0.8439854823602981,0.4918581928917344,0.35212728946856375
2024-02-21,0.8388254506865497,0.5352406270475409,0.30358482363900874
2024-02-22,0.8467912290562816,0.5636386990890704,0.2831525299672112
2024-02-23,0.8479346786979928,0.5756257337316991,0.27230894496629365
2024-02-26,0.8548215375054494,0.6180236262361806,0.23679791126926886
2024-02-27,0.8408015240044415,0.6307401020491985,0.21006142195524302
2024-02-28,0.8468897113197139,0.6385515727642228,0.2083381385554911
2024-02-29,0.8527718306463977,0.6581454429878221,0.19462638765857565
2024-03-01,0.8571672400325633,0.672968921116029,0.18419831891653426
2024-03-04,0.8427182667641627,0.6950817983786768,0.14763646838548594
2024-03-05,0.8478817468777325,0.7299680742364858,0.11791367264124675
2024-03-06,0.847278024888293,0.7641097611772186,0.08316826371107433
2024-03-07,0.8481036807352679,0.7983040643616903,0.04979961637357755
2024-03-08,0.8490849432562015,0.8503253896629042,0.0012404464067026222
2024-03-11,0.8517123640860416,0.933110200847984,0.08139783676194245
2024-03-12,0.850040311393295,0.9608136830068975,0.11077337161360257
2024-03-13,0.8593465410688854,1.0030888913100422,0.14374235024115678
2024-03-14,0.866849384401408,1.0588641099734737,0.19201472557206567
2024-03-15,0.8539791963239546,1.1101092996229533,0.25613010329899877
2024-03-18,0.8609319647668101,1.1558650816957772,0.29493311692896707
2024-03-19,0.8512736541434472,1.206922614811351,0.35564896066790375
2024-03-20,0.8454801957124838,1.2411095528994567,0.3956293571869729
