pair,z_var,z_mean,z_std,z_gt2_ratio,z_gt2_count,reversion_rate,avg_reversion_time,residual_stationary,quality_status,data_points
AU-HC,0.8664097540079393,0.1723512705399169,0.9308113417916325,0.1,6,0.5,1.6666666666666667,True,bad,60
PB-SS,0.546113828000934,0.003320303261931949,0.7389951474813173,0.016666666666666666,1,1.0,2.0,True,bad,60
NI-I,0.314838851636525,0.12117933393187806,0.5611050272778929,0.0,0,0.0,,True,bad,60
SS-SF,1.4247565112054124,0.06512264987241574,1.193631648041142,0.08333333333333333,5,0.2,1.0,True,bad,60
SM-SF,2.27648477453624,0.07349756294876592,1.5088024305840178,0.18333333333333332,11,0.45454545454545453,2.2,True,bad,60
RB-AG,0.40734163188078043,0.16399010035005068,0.6382332112016582,0.0,0,0.0,,True,bad,60
PB-RB,0.7938192730406687,0.09628375322923075,0.8909653601799953,0.06666666666666667,4,0.5,1.5,True,warning,60
AL-SM,0.3264958030844965,-0.010368970360351107,0.5713981126014475,0.016666666666666666,1,0.0,,True,bad,60
PB-AG,0.46468172007874037,0.12293083232896942,0.6816756707399351,0.0,0,0.0,,True,bad,60
PB-HC,0.8650189633587547,0.1572516462760994,0.9300639565958648,0.1,6,0.5,2.3333333333333335,True,bad,60
PB-SM,0.38276195458504814,0.046876335709059365,0.6186775853261924,0.016666666666666666,1,0.0,,True,bad,60
SS-HC,0.867917214521947,0.18021039742026057,0.9316207460774728,0.08333333333333333,5,0.4,2.5,True,bad,60
HC-AG,0.41719906159825487,0.21300550721709768,0.64590948405969,0.016666666666666666,1,1.0,2.0,True,bad,60
