交易序号,配对,品种X,品种Y,方向,开仓日期,开仓Z值,开仓Beta,开仓价格X,开仓价格Y,平仓日期,平仓Z值,平仓价格X,平仓价格Y,平仓原因,手数X,手数Y,乘数X,乘数Y,持仓天数,毛盈亏,手续费,净盈亏,收益率,保证金
46,AL-SM,AL,SM,short,2025-01-14,2.7958,0.881163,20296.19,6458.76,2025-02-12,0.1824,20598.59,6445.64,signal,4,14,5,5,29,-12609.84,516.36,-13126.20,-8.50%,154446.70
47,ZN-I,ZN,I,short,2025-01-14,2.0377,0.657197,24013.46,779.77,2025-02-13,N/A,23746.96,800.71,time_stop,3,7,5,100,30,16111.81,364.55,15747.27,14.48%,108724.57
48,CU-ZN,CU,ZN,long,2025-01-15,-2.0548,0.902309,75289.41,23544.96,2025-02-14,N/A,78253.76,24086.74,time_stop,2,7,5,5,30,9031.41,640.51,8390.90,4.43%,189236.14
49,SS-AG,SS,AG,short,2025-02-05,2.5519,0.944728,13245.96,8119.31,2025-02-26,0.2478,13198.68,7925.64,signal,7,4,5,15,21,-11375.27,377.65,-11752.92,-10.30%,114092.09
50,RB-AG,RB,AG,short,2025-02-05,2.2194,1.104572,3324.10,8119.31,2025-02-26,0.2119,3347.11,7925.64,signal,24,6,10,15,21,-24931.41,609.03,-25540.44,-13.92%,183422.69
51,AG-NI,AG,NI,long,2025-02-05,-4.3857,1.311334,8119.31,123480.82,2025-02-27,-0.4758,7922.76,125534.15,signal,4,3,15,1,22,-18493.05,341.91,-18834.96,-18.30%,102912.15
52,SM-I,SM,I,short,2025-02-12,2.2198,0.756402,6445.64,820.94,2025-03-03,0.2999,6344.51,768.59,stop_loss,19,10,5,100,19,-46886.18,560.92,-47447.09,-27.59%,171993.47
53,AU-CU,AU,CU,long,2025-02-05,-2.6927,1.743845,671.25,75426.24,2025-03-10,N/A,683.34,78166.39,time_stop,1,1,1000,5,33,-1964.75,424.51,-2389.26,-1.90%,125805.50
54,AU-NI,AU,NI,long,2025-02-05,-2.8183,1.823862,671.25,123480.82,2025-03-10,N/A,683.34,132690.58,time_stop,1,3,1000,1,33,-15773.28,424.62,-16197.90,-12.96%,125002.86
55,AU-SF,AU,SF,long,2025-02-05,-3.1181,1.358901,671.25,6289.93,2025-03-10,N/A,683.34,6015.64,time_stop,1,10,1000,5,33,25150.10,393.97,24756.13,20.93%,118289.32
56,AU-I,AU,I,long,2025-02-05,-2.1145,1.034411,671.25,795.40,2025-03-10,N/A,683.34,754.80,time_stop,1,8,1000,100,33,42116.00,518.95,41597.05,26.51%,156908.54
57,AU-SM,AU,SM,long,2025-02-11,-2.3879,1.359376,686.62,6645.25,2025-03-14,N/A,697.06,6324.07,time_stop,1,10,1000,5,31,25841.55,406.43,25435.12,20.80%,122266.11
58,AU-AG,AU,AG,long,2025-02-11,-2.0139,1.392978,686.62,7987.32,2025-03-14,N/A,697.06,8386.72,time_stop,1,4,1000,15,31,-13940.88,473.23,-14414.11,-10.30%,139903.36
59,CU-SF,CU,SF,long,2025-02-11,-2.2109,0.779647,77264.75,6338.65,2025-03-14,N/A,80251.08,6034.55,time_stop,2,20,5,5,31,58473.38,562.50,57910.88,34.31%,168781.53
60,SN-SF,SN,SF,long,2025-02-13,-2.0317,0.704379,258171.62,6285.32,2025-03-17,N/A,283531.63,6044.03,time_stop,2,20,1,5,32,73528.83,463.27,73065.56,53.18%,137385.03
61,AG-SF,AG,SF,long,2025-02-14,-3.0326,0.976991,8267.48,6258.41,2025-03-17,N/A,8363.09,6044.03,time_stop,5,20,15,5,31,32350.59,594.61,31755.98,17.70%,179409.88
62,RB-SF,RB,SF,long,2025-02-20,-2.3099,1.080038,3365.32,6234.26,2025-03-24,N/A,3228.63,5999.88,time_stop,24,24,10,5,32,-7560.84,610.13,-8170.97,-4.38%,186694.50
63,SS-SF,SS,SF,long,2025-02-20,-2.1113,0.923030,13293.52,6234.26,2025-03-24,N/A,13494.25,5999.88,time_stop,6,14,5,5,32,31032.96,498.01,30534.95,20.31%,150336.66
64,PB-AL,PB,AL,long,2025-03-19,-2.2445,1.018364,17712.70,20699.73,2025-04-03,-0.0625,17108.13,20376.25,signal,6,5,5,5,15,-11699.96,414.30,-12114.27,-9.62%,125864.91
65,AG-I,AG,I,long,2025-03-05,-2.2809,0.743355,8013.08,759.84,2025-04-07,N/A,7644.33,734.96,time_stop,4,9,15,100,33,-2792.04,456.95,-3248.99,-2.32%,139757.00
66,SS-HC,SS,HC,long,2025-03-05,-2.0335,0.858705,13349.51,3384.58,2025-04-07,N/A,13000.36,3253.52,time_stop,6,14,5,10,33,9200.95,515.95,8685.01,5.52%,157378.73
