pair,year,ols_beta_60d,beta_mean,beta_std,beta_min,beta_max,beta_range,beta_drift,beta_vs_initial,sign_changes,neg_to_pos,pos_to_neg,z_mean,z_std,z_var,z_min,z_max,z_gt2_ratio,z_gt25_ratio,z_gt3_ratio,z_gt2_count,reversion_rate,avg_reversion_time,adf_pvalue,residual_stationary,ols_correlation,score,data_points
AU-PB,2022,0.2120283474105847,0.20926909982328176,0.002568781285543156,0.2051589234147482,0.21779718633983397,0.01263826292508577,-0.006861095146197704,0.0027592475873029487,0,0,0,-0.016618272997646205,0.9616816794943316,0.9248316526750383,-3.0866356185487986,3.537089087426406,0.064,0.024,0.008,16,1.0,2.125,1.4417276544841538e-21,True,0.495468485539315,7,250
CU-SN,2020,0.8004038237837044,0.7993124230220037,0.0027530752058062325,0.7926238459112664,0.8064426389270392,0.013818793015772712,-0.0008660772625780355,0.0010914007617007782,0,0,0,-0.005001889261630981,1.0393546486537304,1.0802580856781194,-3.2329967922763663,3.8555051488039256,0.052,0.028,0.02,13,1.0,3.6153846153846154,1.2914311398820701e-22,True,0.7929648619792721,8,250
CU-SN,2021,0.6897619334235094,0.7198449154902543,0.016704450323405534,0.6892321890590217,0.751474838621109,0.06224264956208725,0.04765956111097425,0.030082982066744868,0,0,0,0.24050122009868333,1.444932027080159,2.0878285628819775,-8.080390902957491,13.745963418565072,0.084,0.052,0.032,21,0.9047619047619048,3.1052631578947367,6.189915332106231e-22,True,0.09734890822471251,4,250
CU-SN,2022,0.7872124369552264,0.7499963398804955,0.011284047282728667,0.7283852067615856,0.7867400277579187,0.05835482099633316,-0.036026593807876095,0.037216097074730836,0,0,0,-0.10792951707592927,1.1442218187251088,1.3092435704465957,-5.324072478484187,5.497770738678957,0.092,0.04,0.02,23,0.9130434782608695,2.1904761904761907,1.4902484422806796e-18,True,0.5625103641992282,5,250
RB-SM,2020,-0.6686678097116325,-0.6529342223233099,0.014298321011331192,-0.671543663105954,-0.6206119152652039,0.05093174784075016,0.04057129731318454,0.015733587388322645,0,0,0,0.11736433851825757,1.0799319846118265,1.166253091387638,-2.5247676103643717,3.9243179154055348,0.072,0.036,0.02,18,0.9444444444444444,2.1176470588235294,5.5199366752194155e-09,True,0.08236160238022824,7,250
RB-SM,2021,-0.14270315975938042,-0.12336542746818907,0.013964413319498619,-0.1426879293830694,-0.07704739634310404,0.06564053303996537,0.021754591678126767,0.019337732291191345,0,0,0,0.08760656280484971,1.1720081778746363,1.373603169005025,-4.152611462409749,5.837838256820685,0.076,0.048,0.024,19,0.9473684210526315,4.833333333333333,0.008163070081576386,True,0.625271784941871,7,250
RB-SM,2022,0.7530137322188842,0.7537538425351913,0.0035115357883375247,0.7444827536331285,0.7612204787600985,0.016737725126969916,-0.0003153995540636778,0.0007401103163070522,0,0,0,-0.002081362174111387,1.0217400619392645,1.0439527541716518,-2.623859898373279,3.3317576146026426,0.072,0.032,0.008,18,0.8888888888888888,2.5,8.874881629693576e-22,True,-0.5973151760883384,7,250
AU-AG,2020,1.265199656109766,1.2806449171223035,0.021192344653018256,1.2384082095256168,1.3118063778421478,0.07339816831653101,0.04973809698458154,0.015445261012537514,0,0,0,0.17106461095004005,1.2435626542814087,1.5464480751234222,-4.756755393436283,6.317459658840674,0.088,0.048,0.036,22,1.0,2.8181818181818183,2.6583562824331995e-19,True,0.44233812878077033,4,250
AU-AG,2021,0.4048613837517944,0.3961658687120772,0.00849099457648829,0.38143689927098773,0.4131150566461742,0.03167815737518648,-0.015359352448522767,0.008695515039717217,0,0,0,-0.06655542583055729,1.0142232590161369,1.028648819129314,-3.045412429212569,3.258198597918521,0.064,0.032,0.008,16,0.9375,2.933333333333333,4.0974264890647794e-19,True,-0.5994918115052714,7,250
AU-AG,2022,0.9925799057993451,0.9814505712572987,0.00820973110252229,0.9651318091974317,0.99806950191439,0.032937692716958344,-3.6458464438560156e-06,0.011129334542046343,0,0,0,0.006646201710991924,1.0569354067152625,1.1171124539683575,-3.8664171210987965,4.487842571833011,0.064,0.04,0.016,16,1.0,2.4375,2.280333271739026e-09,True,0.25436798764352125,7,250
AU-ZN,2020,-0.458950856947233,-0.4294887763952173,0.017061663575551368,-0.46447146609794865,-0.40598732331481113,0.058484142783137516,0.046041448913212824,0.029462080552015657,0,0,0,0.13897592756603205,1.043709047439827,1.089328575707751,-3.1609946034195877,4.219553398088525,0.064,0.024,0.016,16,1.0,3.0625,2.895423450496225e-18,True,-0.2116643184307184,7,250
AU-ZN,2021,-1.0274641983271433,-1.0059636834279149,0.014745268473550363,-1.0272516263632079,-0.9649958550896052,0.06225577127360271,0.05691418568701756,0.02150051489922844,0,0,0,0.15200410910919537,1.2276209302581647,1.5070531484079215,-3.0831546612233294,7.330987516531451,0.088,0.048,0.032,22,0.9545454545454546,7.428571428571429,2.2934699680320226e-14,True,-0.3418020602636816,4,250
AU-ZN,2022,1.092323371620898,1.07279478322866,0.013971137715903224,1.0339569253006857,1.0942580937368585,0.060301168436172725,-0.056667697101853154,0.019528588392238033,0,0,0,-0.17577690773714666,1.0329380856163854,1.0669610887168433,-4.001148136334731,2.2303915886206864,0.068,0.024,0.008,17,0.9411764705882353,2.3125,1.9678573433436277e-17,True,0.5087190302252096,7,250
AG-NI,2020,0.40716254316397316,0.4107611576048277,0.00761060594417238,0.3956159640736292,0.4299186330023432,0.034302668928713975,0.007334423210813512,0.0035986144408545195,0,0,0,0.017668766198416383,1.0456005980578185,1.0932806106588677,-3.917623515601422,3.3464311009165626,0.076,0.024,0.012,19,0.9473684210526315,2.4444444444444446,1.0411161749601197e-17,True,-0.3638793671276726,7,250
AG-NI,2021,0.9977901738994341,1.0232375989751332,0.022700602846491523,0.9865130981706359,1.0753796624190224,0.08886656424838646,0.07196286053400347,0.02544742507569908,0,0,0,0.22952939653549664,1.2239036754794859,1.4979402068521945,-2.6775243520004195,6.61155038174383,0.084,0.044,0.024,21,1.0,4.761904761904762,2.12997083659914e-15,True,-0.5961409870685539,5,250
AG-NI,2022,3.611981298351425,3.6245162804536513,0.031126956305176944,3.5458350227380593,3.672074563782172,0.1262395410441126,-0.07693961832281104,0.012534982102226255,0,0,0,-0.16021733021620418,1.2248899740124448,1.5003554484362076,-4.566770098455272,3.6049839206949983,0.096,0.052,0.032,24,0.9583333333333334,4.217391304347826,1.396637637919304e-12,True,0.3567099400672302,4,250
