pair,z_var,z_mean,in_band,quality,delta,R,beta,calibrations,red_line_1
AU-AG,0.0008703659557197754,1.055480795298831,False,bad,0.995,35267411.69374372,4.0,50,False
AU-I,0.0015498919385292507,1.0187306351853487,False,bad,0.995,682165.245718963,-0.0786270254916578,50,False
HC-ZN,0.000247187825776741,0.9653262310530106,False,bad,0.995,588434805.1178266,-0.2837252039753831,50,False
RB-SS,0.00016725075211462205,0.980628649053744,False,bad,0.995,63086725.23754079,1.5884873285196037,50,False
AU-HC,0.001016614976604945,0.9939407109339431,False,bad,0.995,13405664.502255967,-0.31185033273058793,50,False
AL-CU,0.13727250039823014,0.6389733703255673,False,bad,0.995,1537185.2690468612,3.796833367549422,50,False
PB-SS,0.0006514798541995519,0.9802295723714102,False,bad,0.995,71758759.40138304,0.27044370276944363,50,False
SM-SF,0.003328792058843873,0.9871974161194076,False,bad,0.995,14805607.919492455,0.3187710381880388,50,False
RB-AG,0.00032667429267400216,1.0087226149200441,False,bad,0.995,160340125.4908298,-1.0458422361118127,50,False
HC-SS,0.000343134488975822,0.9560668745252322,False,bad,0.995,33444683.856810607,2.176398576690796,50,False
