pair,direction,open_date,close_date,holding_days,net_pnl,gross_pnl,open_commission,close_commission,total_commission,return_pct,close_reason,margin_released
HC-SM,long,2025-05-06,2025-05-09,3,-29504.44923600008,-29049.94000000008,225.96031200000016,228.54892400000003,454.5092360000002,-0.21762265074231313,stop_loss,135576.18720000007
HC-I,long,2025-05-08,2025-05-12,4,-20237.789511999945,-19778.439999999944,227.08864000000005,232.2608720000001,459.3495120000001,-0.14853076396365125,signal,136253.184
SS-HC,long,2025-05-09,2025-05-14,5,-11984.78405700031,-11482.42500000031,247.409433,254.94962399999994,502.35905699999995,-0.08073515974227433,signal,148445.6598
ZN-SM,short,2025-05-22,2025-05-23,1,-26121.03550199911,-25732.38999999911,196.899786,191.745716,388.64550199999996,-0.22110262308765802,stop_loss,118139.87159999998
RB-SM,short,2025-05-22,2025-05-23,1,-27261.05780399955,-26758.05999999955,254.61095599999987,248.38684799999996,502.99780399999986,-0.17844910153826715,stop_loss,152766.57359999992
PB-NI,long,2025-05-28,2025-06-03,6,-11806.933854000199,-11380.922000000199,212.9400008,213.0718532000001,426.0118540000001,-0.09241205511444862,signal,127764.00047999999
RB-SF,long,2025-05-06,2025-06-06,31,10086.328416000406,10630.560000000405,278.4579839999999,265.7736,544.2315839999999,0.06037013957552994,time_stop,167074.79039999994
SS-RB,long,2025-05-09,2025-06-09,31,1683.3533599994937,2126.7999999994936,223.02072000000004,220.42591999999988,443.4466399999999,0.012579947429693929,time_stop,133812.432
SS-HC,long,2025-05-26,2025-06-10,15,-12551.405240998967,-12061.694999998967,247.8296040000001,241.88063699999992,489.710241,-0.08440883735180511,signal,148697.76240000007
ZN-I,long,2025-05-27,2025-06-13,17,-20129.698219999605,-19675.459999999606,228.326656,225.91156399999997,454.23821999999996,-0.146936400773691,signal,136995.9936
HC-I,long,2025-06-18,2025-06-23,5,-11891.151335999439,-11389.519999999438,249.70722000000004,251.92411600000003,501.63133600000003,-0.07936729086167019,signal,149824.332
RB-I,long,2025-06-18,2025-06-23,5,-11079.495821999997,-10626.249999999996,225.65807600000002,227.58774599999992,453.245822,-0.08183100156362227,signal,135394.8456
SS-I,long,2025-05-27,2025-06-23,27,-21567.378569999622,-21192.789999999623,188.46932399999997,186.11924599999992,374.5885699999999,-0.19072404032180526,signal,113081.59439999997
PB-AL,short,2025-06-18,2025-06-25,7,-14118.036960000629,-13785.050000000629,165.90583499999997,167.08112499999996,332.98695999999995,-0.14182781214416632,signal,99543.50099999997
PB-NI,long,2025-06-10,2025-07-10,30,12209.379252200633,12642.381000000634,215.36658699999998,217.63516080000002,433.0017478,0.094485248170527,time_stop,129219.95219999997
RB-SM,long,2025-07-04,2025-07-25,21,-24128.595539999445,-23604.419999999445,247.91608800000006,276.25945199999995,524.17554,-0.16220942426293478,signal,148749.6528
SM-I,short,2025-07-03,2025-07-25,22,-7000.3166209998535,-6466.154999999853,253.74079500000002,280.4208259999999,534.161621,-0.045980759098406265,signal,152244.477
RB-I,short,2025-07-10,2025-07-25,15,-14077.283147999939,-13565.699999999939,248.30906400000006,263.274084,511.58314800000005,-0.09448764455895936,signal,148985.43840000004
ZN-SM,short,2025-07-25,2025-07-28,3,-34704.822784999225,-34227.47499999923,243.05868499999997,234.2890999999999,477.3477849999999,-0.23797286366595807,stop_loss,145835.21099999998
SS-SM,short,2025-07-25,2025-07-28,3,-29853.522338000057,-29421.310000000056,220.24332399999994,211.969014,432.21233799999993,-0.22591318392621718,stop_loss,132145.99439999997
HC-I,short,2025-07-09,2025-07-29,20,-3638.6901639993926,-3252.6599999993923,184.95693600000013,201.07322800000003,386.0301640000001,-0.03278862495140842,signal,110974.16160000006
ZN-I,short,2025-07-10,2025-08-18,39,15420.041556000317,15874.340000000317,225.21267600000007,229.08576799999997,454.298444,0.11411466581925664,time_stop,135127.60560000004
SS-I,short,2025-07-10,2025-08-18,39,4549.529464999995,4862.474999999995,154.64469500000004,158.30084000000002,312.94553500000006,0.04903206740026435,time_stop,92786.81700000002
NI-I,short,2025-07-10,2025-08-18,39,17923.21672259982,18343.77899999982,208.54953660000004,212.0127408,420.5622774,0.14323708581666394,time_stop,125129.72196000001
SS-HC,short,2025-07-11,2025-08-18,38,10224.274592000791,10671.240000000791,219.67115599999997,227.2942520000001,446.9654080000001,0.07757257695377474,time_stop,131802.69359999997
PB-AL,short,2025-07-18,2025-08-18,31,1465.960626000553,1798.3400000005531,166.125373,166.25400100000004,332.37937400000004,0.014707372304897229,time_stop,99675.22379999999
SS-RB,short,2025-07-21,2025-08-18,28,-17392.420170000183,-16889.370000000185,251.91541200000012,251.13475800000012,503.0501700000002,-0.11506785837303313,signal,151149.24720000007
PB-SM,short,2025-07-22,2025-08-19,28,-14906.439128001051,-14419.860000001052,245.1238510000001,241.45527699999988,486.57912799999997,-0.10135311236332968,signal,147074.31060000003
PB-I,short,2025-07-21,2025-08-19,29,-2000.31745,-1575.0,212.57622500000005,212.74122500000004,425.3174500000001,-0.015683138679627347,forced,127545.73500000003
