交易ID,配对,品种X,品种Y,入场日期,出场日期,持仓天数,入场动作,退出动作,Beta,入场Z_Score,出场Z_Score,入场价格X,入场价格Y,出场价格X,出场价格Y,手数X,手数Y,乘数X,乘数Y,保证金,原始盈亏,原始收益率%,触发止损,止损后盈亏,止损后收益率%,入场价差,出场价差
31,AL0-PB0,AL0,PB0,2025-05-14,2025-05-23,7,open_long,close_normal,0.8490795574284676,-3.020524458439735,-0.206842857866732,20225.0,16950.0,20170.0,16845.0,5,4,5,5,101355.0,-1062.155,-1.0479552069458833,False,-1062.155,-1.0479552069458833,-250.37024235218632,-2.5654644090827787
32,AL0-PB0,AL0,PB0,2025-06-18,2025-06-20,2,open_long,close_normal,0.8247094639278885,-2.4734523745589505,0.1277616998277884,20665.0,16825.0,20385.0,16795.0,5,4,5,5,102375.0,6060.27,5.919677655677656,False,6060.27,5.919677655677656,-244.99171402873253,-1.9325914219552944
33,AL0-PB0,AL0,PB0,2025-06-25,2025-06-30,3,open_short,close_normal,0.8338355186375148,2.339976915602731,0.2083343722873681,20370.0,17175.0,20565.0,17215.0,5,4,5,5,102330.0,3732.765,3.6477719143946055,False,3732.765,3.6477719143946055,217.27801813338732,9.549800256489108
34,CU0-SN0,CU0,SN0,2024-09-25,2024-11-13,5,open_long,close_timeout,3.260075512950383,-2.240711615851742,-1.3817803167734322,77040.0,257400.0,74240.0,246390.0,2,7,5,1,308664.0,-50077.866,-16.224070834305266,True,-46299.6,-15.0,6115.980216913973,1668.628054825269
35,CU0-SN0,CU0,SN0,2024-11-28,2024-12-12,10,open_long,close_normal,3.290686817309589,-2.24809701276054,-0.2017531455903812,73740.0,233240.0,75470.0,251650.0,2,7,5,1,284409.6,110592.734,38.8850214620041,False,110592.734,38.8850214620041,-9543.966512928368,3566.6535612900043
36,CU0-SN0,CU0,SN0,2025-03-14,2025-03-24,6,open_short,close_normal,3.341940229183292,4.619700632973915,-0.2867909848031714,80530.0,287770.0,81810.0,276930.0,2,7,5,1,338362.8,87564.74,25.87895005006461,False,87564.74,25.87895005006461,18773.811550744984,1700.621404792415
37,CU0-SN0,CU0,SN0,2025-04-01,2025-05-19,30,open_short,close_timeout,3.382438023849069,2.535322159574648,-0.3643305249694514,80460.0,287450.0,77790.0,264890.0,2,7,5,1,338010.0,130130.224,38.49892725067306,False,130130.224,38.49892725067306,15430.509741819347,739.6302933378611
38,CU0-ZN0,CU0,ZN0,2024-08-09,2024-08-16,5,open_short,close_normal,0.3115853146079396,2.4107542918322418,0.0007190837100899,71700.0,22590.0,73900.0,23340.0,3,1,5,5,142614.0,28767.27,20.17142075813034,False,28767.27,20.17142075813034,273.68050204896645,11.07170994158878
39,CU0-ZN0,CU0,ZN0,2024-08-23,2024-08-28,3,open_short,close_normal,0.3224297215208377,2.21803603661431,0.1140339524938993,73530.0,23985.0,74560.0,24030.0,3,1,5,5,146745.0,14732.715,10.03967085761014,False,14732.715,10.03967085761014,301.4154682184271,34.09938374325793
40,CU0-ZN0,CU0,ZN0,2024-09-05,2024-09-11,1,open_long,close_normal,0.3210270780306337,-2.259157462155161,-0.294394441320827,71490.0,22710.0,73300.0,22930.0,3,1,5,5,142308.0,-26530.01,-18.642669421255302,True,-21346.2,-15.0,-264.85662075092114,-33.29797265008892
