交易ID,配对,品种X,品种Y,入场日期,原始出场日期,原始持仓天数,触发止损,实际出场日期,实际持仓天数,信号类型,退出原因,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,保证金率%,原始毛盈亏,原始手续费,原始净盈亏,原始收益率%,止损后净盈亏,止损后收益率%,止损保护金额,入场价差,出场价差,价差变动,入场月份,出场月份
41,CU0-ZN0,CU0,ZN0,2024-10-08,2024-10-09,1,False,2024-10-09,1,open_short,close_normal,0.3227,2.3081,-0.1148,77340.0000,25270.0000,77530.0000,25055.0000,3,1,5,5,154374.0000,12.0000,3925.0000,514.9350,3410.0650,2.2090,3410.0650,2.2090,0.0000,336.8700,5.5164,-331.3536,2024-10,2024-10
42,CU0-ZN0,CU0,ZN0,2024-10-24,2024-10-29,5,False,2024-10-29,5,open_short,close_normal,0.3315,2.6203,-0.2334,77030.0000,25910.0000,76470.0000,25025.0000,3,1,5,5,154200.0000,12.0000,-3975.0000,511.4350,-4486.4350,-2.9095,-4486.4350,-2.9095,0.0000,403.2288,-8.1941,-411.4229,2024-10,2024-10
43,CU0-ZN0,CU0,ZN0,2025-01-06,2025-01-22,16,True,2025-01-06,8,open_long,stop_loss,0.3361,-2.3258,0.0000,73570.0000,24505.0000,75550.0000,24100.0000,3,1,5,5,147129.0000,12.0000,-31725.0000,495.9650,-32220.9650,-21.8998,-22069.3500,-15.0000,10151.6150,-248.8848,-248.8848,0.0000,2025-01,2025-01
44,CU0-ZN0,CU0,ZN0,2025-04-07,2025-04-08,1,False,2025-04-08,1,open_short,close_normal,0.3020,4.0060,0.0505,73670.0000,22610.0000,73330.0000,22100.0000,7,2,5,5,336546.0000,12.0000,-6800.0000,1118.4200,-7918.4200,-2.3528,-7918.4200,-2.3528,0.0000,383.4587,-32.5327,-415.9914,2025-04,2025-04
45,CU0-ZN0,CU0,ZN0,2025-07-09,2025-07-14,5,False,2025-07-14,5,open_short,close_normal,0.2807,2.2059,-0.2630,78430.0000,22105.0000,78370.0000,22265.0000,7,2,5,5,355932.0000,12.0000,-3700.0000,1186.3400,-4886.3400,-1.3728,-4886.3400,-1.3728,0.0000,112.2574,-23.7763,-136.0338,2025-07,2025-07
46,PB0-SS0,PB0,SS0,2024-08-06,2024-09-19,44,True,2024-08-06,22,open_long,stop_loss,-0.2973,-2.3345,0.0000,17200.0000,13915.0000,16555.0000,13445.0000,7,2,5,5,88938.0000,12.0000,-27275.0000,291.0050,-27566.0050,-30.9946,-13340.7000,-15.0000,14225.3050,19018.5390,19018.5390,0.0000,2024-08,2024-08
47,PB0-SS0,PB0,SS0,2025-04-07,2025-05-22,45,False,2025-05-22,45,open_long,close_timeout,-0.0282,-2.8782,-1.1901,16645.0000,12925.0000,16700.0000,12865.0000,1,1,5,5,17742.0000,12.0000,-25.0000,59.1350,-84.1350,-0.4742,-84.1350,-0.4742,0.0000,13379.2867,12824.4572,-554.8295,2025-04,2025-05
48,ZN0-SF0,ZN0,SF0,2024-08-05,2024-08-27,22,False,2024-08-27,22,open_short,close_normal,0.3048,3.0576,0.1688,22165.0000,6986.0000,23980.0000,6400.0000,7,2,5,5,101476.2000,12.0000,69385.0000,349.7870,69035.2130,68.0309,69035.2130,68.0309,0.0000,240.5794,-5.8392,-246.4186,2024-08,2024-08
49,ZN0-SF0,ZN0,SF0,2024-09-30,2024-10-08,8,False,2024-10-08,8,open_short,close_normal,0.2622,2.3281,0.2105,25135.0000,6788.0000,25270.0000,6638.0000,4,1,5,5,64396.8000,12.0000,3450.0000,215.0460,3234.9540,5.0235,3234.9540,5.0235,0.0000,207.7510,1.4931,-206.2579,2024-09,2024-10
50,ZN0-SF0,ZN0,SF0,2024-10-25,2024-10-31,6,False,2024-10-31,6,open_short,close_normal,0.2546,2.3079,0.1514,25045.0000,6578.0000,25260.0000,6566.0000,4,1,5,5,64054.8000,12.0000,4360.0000,214.3640,4145.6360,6.4720,4145.6360,6.4720,0.0000,210.9621,-10.4396,-221.4017,2024-10,2024-10
