交易ID,配对,品种X,品种Y,入场日期,原始出场日期,原始持仓天数,触发止损,实际出场日期,实际持仓天数,信号类型,退出原因,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,保证金率%,原始毛盈亏,原始手续费,原始净盈亏,原始收益率%,止损后净盈亏,止损后收益率%,止损保护金额,入场价差,出场价差,价差变动,入场月份,出场月份
28,AL0-CU0,AL0,CU0,2025-03-12,2025-04-21,40,False,2025-04-21,40,open_short,close_normal,1.6483,2.5816,-0.0846,21015.0,79380.0,19855.0,77320.0,3,5,5,5,275967.0,12.0,34100.0,906.11,33193.89,12.0282,33193.89,12.0282,0.0,44796.0801,43831.4203,-964.6598,2025-03,2025-04
29,AL0-PB0,AL0,PB0,2024-08-02,2024-08-12,10,False,2024-08-12,10,open_long,close_normal,0.9739,-2.5019,0.2579,19205.0,18180.0,19195.0,18255.0,1,1,5,5,22431.0,12.0,425.0,74.835,350.165,1.5611,350.165,1.5611,0.0,-553.7532,104.3032,658.0563,2024-08,2024-08
30,AL0-PB0,AL0,PB0,2024-11-12,2024-12-12,30,True,2024-11-12,10,open_short,stop_loss,0.799,2.7735,0.0,20930.0,16980.0,20545.0,17470.0,5,4,5,5,103542.0,12.0,-19425.0,345.175,-19770.175,-19.0939,-15531.3,-15.0,4238.875,282.971,282.971,0.0,2024-11,2024-11
31,AL0-PB0,AL0,PB0,2025-05-14,2025-05-23,9,False,2025-05-23,9,open_long,close_normal,0.8491,-3.0205,-0.2068,20225.0,16950.0,20170.0,16845.0,5,4,5,5,101355.0,12.0,-725.0,337.155,-1062.155,-1.048,-1062.155,-1.048,0.0,-250.3702,-2.5655,247.8048,2025-05,2025-05
32,AL0-PB0,AL0,PB0,2025-06-18,2025-06-20,2,False,2025-06-20,2,open_long,close_normal,0.8247,-2.4735,0.1278,20665.0,16825.0,20385.0,16795.0,5,4,5,5,102375.0,12.0,6400.0,339.73,6060.27,5.9197,6060.27,5.9197,0.0,-244.9917,-1.9326,243.0591,2025-06,2025-06
33,AL0-PB0,AL0,PB0,2025-06-25,2025-06-30,5,False,2025-06-30,5,open_short,close_normal,0.8338,2.34,0.2083,20370.0,17175.0,20565.0,17215.0,5,4,5,5,102330.0,12.0,4075.0,342.235,3732.765,3.6478,3732.765,3.6478,0.0,217.278,9.5498,-207.7282,2025-06,2025-06
34,CU0-SN0,CU0,SN0,2024-09-25,2024-11-13,49,True,2024-09-25,10,open_long,stop_loss,3.2601,-2.2407,0.0,77040.0,257400.0,74240.0,246390.0,2,7,5,1,308664.0,12.0,-49070.0,1007.866,-50077.866,-16.2241,-46299.6,-15.0,3778.266,6115.9802,6115.9802,0.0,2024-09,2024-09
35,CU0-SN0,CU0,SN0,2024-11-28,2024-12-12,14,False,2024-12-12,14,open_long,close_normal,3.2907,-2.2481,-0.2018,73740.0,233240.0,75470.0,251650.0,2,7,5,1,284409.6,12.0,111570.0,977.266,110592.734,38.885,110592.734,38.885,0.0,-9543.9665,3566.6536,13110.6201,2024-11,2024-12
36,CU0-SN0,CU0,SN0,2025-03-14,2025-03-24,10,False,2025-03-24,10,open_short,close_normal,3.3419,4.6197,-0.2868,80530.0,287770.0,81810.0,276930.0,2,7,5,1,338362.8,12.0,88680.0,1115.26,87564.74,25.879,87564.74,25.879,0.0,18773.8116,1700.6214,-17073.1901,2025-03,2025-03
37,CU0-SN0,CU0,SN0,2025-04-01,2025-05-19,48,False,2025-05-19,48,open_short,close_timeout,3.3824,2.5353,-0.3643,80460.0,287450.0,77790.0,264890.0,2,7,5,1,338010.0,12.0,131220.0,1089.776,130130.224,38.4989,130130.224,38.4989,0.0,15430.5097,739.6303,-14690.8794,2025-04,2025-05
38,CU0-ZN0,CU0,ZN0,2024-08-09,2024-08-16,7,False,2024-08-16,7,open_short,close_normal,0.3116,2.4108,0.0007,71700.0,22590.0,73900.0,23340.0,3,1,5,5,142614.0,12.0,29250.0,482.73,28767.27,20.1714,28767.27,20.1714,0.0,273.6805,11.0717,-262.6088,2024-08,2024-08
